v1,v2
ham,"Go until jurong point crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461."
spam,"SIX chances to win CASH! Txt > 80876 to claim your prize. Cost 150p+std txt rate."
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfill my promise."
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"Urgent! You have won a 1 week FREE membership in our £100000 Prize Jackpot! Call 09061701461 now!"
ham,"I've been looking for you! I texted but no reply 😔"
spam,"FreeMsg: You are awarded a £500 Bonus Caller Prize. Call 0905551234 NOW!"
spam,"Congrats! You've won a lottery worth $10,000. Click the link to claim your prize."
ham,"Can we meet tomorrow at 5?"
ham,"Don't forget to bring notes for class."
spam,"You won a free vacation trip! Claim now by replying YES."
spam,"Limited time offer! Buy 1 get 1 free on all products. Reply to claim."
ham,"Are you coming to the party tonight?"
ham,"Sure, I'll call you when I'm free."
spam,"Your number is selected for a free Netflix subscription! Reply to activate."
